Sample,Classification,Metric,Min,Median,Mean,Max,Count
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,2.3724613131313133,265.1615,1980
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.7565656565656566,26.0,1980
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.3621212121212121,35.0,1980
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.5,1.1973285714285713,4.0,14
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,1.0,4.0,14
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.07142857142857142,1.0,14
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,1.0,3.474801038062284,68.1213,289
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,1.0,1.3840830449826989,18.0,289
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,0.0,0.5294117647058824,13.0,289
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,1.432749253731343,129.293,1407
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.6496090973702914,18.0,1407
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.19616204690831557,21.0,1407
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,12.885855813953489,279.3691,43
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,2.395348837209302,26.0,43
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,1.5813953488372092,25.0,43
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,2.0,5.253112742382272,93.3793,361
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,1.0,1.7700831024930748,18.0,361
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,0.0,0.8060941828254847,11.0,361
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num spots estimated,20.9168,20.9168,20.9168,20.9168,1
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,0.0,0.0,0.0,1
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num clusters,3.0,3.0,3.0,3.0,1
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,1.8257231254379818,170.4174,1427
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.7238962859145059,24.0,1427
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.255781359495445,20.0,1427
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,2.5453866666666665,9.6824,15
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.4666666666666666,5.0,15
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.26666666666666666,2.0,15
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,4.3412,13.532569756097562,258.3455,205
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,1.0,2.7170731707317075,18.0,205
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,1.0,2.1951219512195124,31.0,205
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,3.4105847457627116,92.3258,590
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.088135593220339,16.0,590
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.5322033898305085,11.0,590
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.5,3.573988888888889,19.3916,18
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.8333333333333334,4.0,18
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.7222222222222222,3.0,18
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,3.9466,10.313715035799524,183.1769,419
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,2.0,2.954653937947494,26.0,419
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,1.0,1.6372315035799523,28.0,419
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,2.1899994405594407,71.0648,715
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.8111888111888111,17.0,715
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.37202797202797205,14.0,715
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,1.9140481481481482,11.8664,27
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.037037037037037,7.0,27
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.2222222222222222,1.0,27
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,2.0,6.854755217391305,82.4594,690
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,1.0,2.528985507246377,25.0,690
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,0.0,1.0623188405797102,16.0,690
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,1.0,11.296666666666667,32.89,3
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,1.0,3.6666666666666665,10.0,3
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,0.0,1.6666666666666667,5.0,3
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,2.1390029895366216,170.8891,1338
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.9461883408071748,35.0,1338
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.3041853512705531,26.0,1338
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,4.314115384615385,49.2549,52
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,1.0961538461538463,9.0,52
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.7115384615384616,6.0,52
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,2.0,7.304918582375479,145.922,522
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,1.0,2.235632183908046,42.0,522
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,0.0,1.128352490421456,18.0,522
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,0.0,0.0,0.0,1
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,0.0,0.0,0.0,1
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,0.0,0.0,0.0,1
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,2.192910662020906,93.9045,1435
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.8048780487804879,20.0,1435
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.32822299651567943,18.0,1435
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,1.7220481481481482,12.8664,27
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.8888888888888888,7.0,27
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.2222222222222222,3.0,27
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,7.7092,22.625554166666667,299.6538,288
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,4.0,7.947916666666667,79.0,288
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,1.0,2.642361111111111,35.0,288
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num spots estimated,3.9466,16.313000000000002,16.313000000000002,28.6794,2
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,2.5,2.5,5.0,2
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num clusters,1.0,3.5,3.5,6.0,2
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,3.4355135135135133,79.8274,407
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,1.1228501228501229,22.0,407
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.47911547911547914,11.0,407
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,1.2271363636363637,7.4985,11
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.5454545454545454,2.0,11
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.18181818181818182,2.0,11
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,4.9466,17.254319565217394,233.3814,322
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,2.0,6.037267080745342,84.0,322
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,1.0,2.111801242236025,26.0,322
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,2.0436708229426435,92.6136,401
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.5910224438902744,10.0,401
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.3541147132169576,15.0,401
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,2.607555,15.8397,40
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,0.95,5.0,40
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.425,3.0,40
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,7.72255,18.973909728506786,356.1225,442
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,2.0,4.683257918552036,57.0,442
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,1.0,3.1334841628959276,32.0,442
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,15.22095,15.22095,30.4419,2
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,2.0,2.0,4.0,2
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,4.0,4.0,8.0,2
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,3.725727677329625,155.8922,719
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.1168289290681501,19.0,719
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.6425591098748261,26.0,719
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,5.691064556962027,80.8274,79
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.759493670886076,18.0,79
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.8227848101265823,11.0,79
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,8.1305,22.240831884057975,324.3362,483
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,3.0,5.563146997929606,55.0,483
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,1.0,2.846790890269151,35.0,483
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,2.0,3.2064285714285714,9.8931,7
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,2.0,1.5714285714285714,3.0,7
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,0.0,0.42857142857142855,2.0,7
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,5.440582103134479,287.55,989
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.4186046511627908,39.0,989
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.813953488372093,41.0,989
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,2.782298,20.1809,50
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.18,6.0,50
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.44,4.0,50
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,7.7626,18.067068421052632,380.0331,437
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,3.0,5.073226544622425,46.0,437
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,1.0,2.759725400457666,47.0,437
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,5.0,9.130533333333334,22.3916,3
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,5.0,4.0,7.0,3
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,0.0,1.3333333333333333,4.0,3
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,3.5743467422096318,67.3053,706
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.3243626062322946,16.0,706
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.5807365439093485,13.0,706
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,6.0570679487179495,56.9106,78
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,1.0,1.3717948717948718,9.0,78
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,1.0128205128205128,10.0,78
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,4.0,14.3201343122102,292.6836,647
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,2.0,3.3771251931993818,38.0,647
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Neg: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,1.0,2.0958268933539412,28.0,647
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num spots estimated,0.0,5.5519,6.216863636363637,24.9168,11
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num single spots,0.0,2.0,2.090909090909091,6.0,11
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Pos: vgat_Pos,Subcellular: Channel 2: Num clusters,0.0,1.0,1.1818181818181819,5.0,11
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,1.0,2.6766859813084105,153.9189,963
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.90134994807892,26.0,963
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,vglut2_Neg: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.42990654205607476,23.0,963
2024_06_25__RecognizedCode-17.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num spots estimated,0.0,0.0,1.4740895833333332,14.8931,48
2024_06_25__RecognizedCode-17.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num single spots,0.0,0.0,0.7916666666666666,7.0,48
2024_06_25__RecognizedCode-17.czi - Scene #2.csv,vglut2_Pos: vgat_Neg,Subcellular: Channel 2: Num clusters,0.0,0.0,0.22916666666666666,2.0,48
